"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-2.4150938950263,0.194506007502939,-12.4165516840903,2.1252603075608e-35
"scale(AREA)",-0.258006069710136,0.219254923010984,-1.1767401441527,0.239299239648934
"scale(PA_Ratio)",-0.168863364762651,0.0902229873098015,-1.87162240796594,0.0612588610632848
"scale(PropTreeBuffer)",0.840309232063938,0.152948878998027,5.4940528990394,3.92812742688095e-08
"scale(Mean_elevation)",0.66536091518964,0.109438909615574,6.07974729944638,1.20372099535124e-09
"scale(rain.anom.2019)",-0.421567226771228,0.119245440985229,-3.53529009820551,0.00040732771139682
"scale(Mean_slope)",0.0108739930599633,0.0752383675765028,0.144527232716826,0.885084153598074
"scale(ASPN)",0.193789391560006,0.0732939067142158,2.64400412322979,0.00819316581006843
"scale(FF_max)",1.29897322505876,0.0895090001033202,14.512207974163,1.0140320319087e-47
