"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.692749777200578,0.670552700242797,1.03310265837382,0.301555859434293
"scale(AREA)",0.00965358892259577,0.0621066490334194,0.155435675130391,0.87647786123935
"scale(PA_Ratio)",-0.133447301463079,0.0481847400961957,-2.76949302199546,0.00561436068951323
"scale(PropTreeBuffer)",0.408339679033046,0.06243361929821,6.54038134618848,6.13621643513396e-11
"scale(Mean_annual_rainfall)",-0.547416580248005,0.0794601693947288,-6.88919473011241,5.61090903126603e-12
"scale(Mean_slope)",0.21502845057107,0.0498807583585713,4.31084966722684,1.62628444116057e-05
"scale(ASPN)",0.196354950196863,0.0439821959460325,4.46441897621021,8.02863228691355e-06
